age,job,education,balance,duration,campaign,approval
30.0,10,0,1787,79.0,1,0
33.0,7,1,4789,220.0,1,0
35.0,4,2,1350,185.0,1,0
30.0,4,2,1476,199.0,4,0
59.0,1,1,0,226.0,1,0
35.0,4,2,747,141.0,2,0
36.0,6,2,307,341.0,1,0
39.0,9,1,147,151.0,2,0
41.0,2,2,221,57.0,2,0
43.0,7,0,-88,313.0,1,0
39.0,7,1,9374,273.0,1,0
43.0,0,1,264,113.0,2,0
36.0,9,2,1109,-328.0,2,0
20.0,8,1,502,261.0,1,1
31.0,1,1,360,89.0,1,0
40.0,4,2,194,189.0,2,0
56.0,9,1,4073,239.0,5,0
37.0,0,2,2317,114.0,1,0
25.0,1,0,-221,250.0,1,0
31.0,7,1,132,148.0,1,0
38.0,4,3,0,-96.0,2,0
42.0,4,2,16,140.0,3,0
44.0,7,1,106,109.0,2,0
44.0,2,1,93,125.0,2,0
26.0,3,2,543,169.0,3,0
41.0,4,2,5883,182.0,2,0
55.0,1,0,627,247.0,1,0
67.0,5,3,696,119.0,1,0
56.0,6,1,784,149.0,2,0
53.0,0,1,105,74.0,2,0
68.0,5,1,4189,897.0,2,1
31.0,9,1,171,81.0,3,0
59.0,4,1,42,40.0,1,0
32.0,4,2,2536,958.0,6,1
49.0,9,2,1235,354.0,3,1
42.0,0,1,1811,150.0,1,0
78.0,5,0,229,97.0,1,1
32.0,1,1,2089,132.0,1,1
0.0,4,1,3935,765.0,1,1
23.0,7,2,363,16.0,18,0
38.0,4,2,11971,609.0,2,0
36.0,4,2,553,106.0,2,0
52.0,1,1,1117,365.0,1,0
32.0,9,2,396,205.0,3,0
32.0,9,2,2204,11.0,4,0
34.0,4,2,872,105.0,2,0
55.0,1,0,145,59.0,3,0
26.0,1,0,0,425.0,1,0
32.0,2,0,-849,204.0,1,0
,0,3,4629,181.0,1,1
45.0,1,0,844,1018.0,3,1
37.0,9,1,228,1740.0,2,0
38.0,9,1,50,98.0,2,0
34.0,9,2,1539,441.0,1,1
53.0,1,1,2231,272.0,3,0
48.0,0,1,3064,159.0,2,0
57.0,4,1,82,140.0,1,0
33.0,6,2,2155,295.0,1,0
36.0,5,1,101,314.0,1,0
54.0,9,1,784,579.0,1,0
41.0,1,0,-516,554.0,3,0
63.0,5,1,415,323.0,1,0
48.0,4,2,5887,227.0,2,0
48.0,7,1,1355,134.0,2,0
56.0,0,1,16873,223.0,1,0
51.0,1,1,203,134.0,1,0
31.0,7,1,338,155.0,1,0
29.0,9,1,444,130.0,4,0
41.0,4,1,0,630.0,3,0
32.0,9,2,360,164.0,2,0
37.0,4,2,0,268.0,2,1
42.0,2,2,2,380.0,1,0
31.0,4,2,6248,154.0,2,0
41.0,7,2,412,154.0,5,0
56.0,5,1,344,221.0,1,0
54.0,4,2,3222,67.0,2,0
41.0,1,1,174,367.0,2,0
40.0,9,1,591,87.0,6,0
50.0,1,0,388,701.0,1,0
40.0,10,1,219,204.0,2,0
27.0,0,1,451,652.0,1,1
60.0,5,0,5,63.0,2,0
28.0,0,1,177,150.0,1,0
52.0,7,1,657,398.0,2,1
37.0,4,2,1315,224.0,1,1
51.0,1,0,1466,406.0,2,0
41.0,9,1,879,60.0,4,0
35.0,1,0,293,521.0,2,0
38.0,0,1,424,279.0,1,0
34.0,1,1,1831,203.0,2,0
39.0,1,0,111,201.0,2,0
34.0,1,0,455,372.0,3,0
27.0,7,1,-195,391.0,1,1
32.0,4,2,3616,165.0,2,0
57.0,1,1,14093,231.0,5,0
41.0,11,2,1567,291.0,2,0
41.0,0,2,5426,149.0,2,0
30.0,0,2,261,233.0,1,0
36.0,1,1,2843,473.0,1,0
31.0,10,0,406,736.0,1,1
36.0,1,1,0,337.0,1,0
38.0,4,2,493,553.0,1,0
49.0,9,1,5996,345.0,2,0
57.0,7,0,3777,65.0,2,0
34.0,4,1,524,9.0,1,0
32.0,4,2,574,259.0,2,0
37.0,1,1,427,371.0,3,0
33.0,6,2,483,280.0,2,0
56.0,10,0,3391,243.0,1,1
27.0,3,0,0,435.0,3,0
21.0,8,1,2488,258.0,6,1
58.0,4,2,1517,7.0,5,0
32.0,6,1,217,317.0,5,0
33.0,1,1,22,76.0,2,0
25.0,8,1,331,170.0,4,1
25.0,9,1,505,386.0,2,1
30.0,7,1,1808,83.0,2,0
22.0,0,1,4111,65.0,1,0
39.0,1,0,52,69.0,1,0
46.0,4,2,25,564.0,2,0
31.0,0,1,1890,588.0,1,0
45.0,1,0,419,113.0,4,0
32.0,9,1,2693,16.0,1,0
36.0,1,1,-231,779.0,2,0
51.0,4,2,-55,281.0,2,0
34.0,6,2,462,1877.0,3,1
24.0,10,1,119,51.0,1,0
45.0,9,1,586,32.0,3,0
32.0,1,1,228,176.0,1,0
77.0,5,2,4659,161.0,1,1
